Ziemia - Bisekcja, 
x,y
0.9998605582407879,0.0
0.9999446651030172,0.006179079133543031
0.9999905820605531,0.012357926151514284
0.9999983072807245,0.018536308945750875
0.9999678402936495,0.02471399542290766
0.9998991819922772,0.030890753511865997
0.9997923346323961,0.03706635117114227
0.999647301832609,0.04324055639629635
0.9994640885742757,0.049413137227339574
0.9992427012014226,0.05558386175614267
0.9989831474206182,0.0617524981338431
0.998685436300818,0.06791881457825205
0.9983495782731729,0.07408257938126095
0.9979755851308086,0.08024356091624751
0.997563470028568,0.08640152764548109
0.9971132474827237,0.09255624812752739
0.9966249333706549,0.09870749102465264
0.9960985449304939,0.10485502511022685
0.9955341007607365,0.11099861927612628
0.9949316208198213,0.11713804254013525
0.9942911264256757,0.12327306405334668
0.9936126402552274,0.1294034531075619
0.9928961863438841,0.13552897914268966
0.992141790084979,0.14164941175414322
0.9913494782291841,0.1477645207002375
0.9905192788838885,0.1538740759095838
0.9896512215125449,0.1599778474884843
0.9887453369339827,0.16607560572832455
0.9878016573216862,0.1721671211129647
0.9868202162030411,0.17825216432612973
0.9858010484585465,0.18433050625879754
0.9847441903209941,0.19040191801658599
0.983649679374613,0.19646617092713786
0.9825175545541813,0.20252303654750478
0.981347856144105,0.20857228667152844
0.9801406257774616,0.21461369333722097
0.9788959064350111,0.2206470288341429
0.9776137424441731,0.22667206571077908
0.9762941794779695,0.23268857678191304
0.9749372645539347,0.23869633513599883
0.9735430460329901,0.2446951141425309
0.9721115736182864,0.2506846874594118
0.9706428983540104,0.25666482904031734
0.9691370726241592,0.26263531314205996
0.9675941501512794,0.2685959143319488
0.966014185995172,0.2745464074951479
0.9643972365515642,0.28048656784203185
0.9627433595507455,0.2864161709155385
0.9610526140561708,0.2923349925985184
0.9593250604630285,0.2982428091210831
0.9575607604967737,0.30413939706794874
0.9557597772116287,0.3100245333857777
0.9539221749890464,0.3158979953905167
0.9520480195361413,0.3217595607747324
0.9501373778840846,0.32760900761494305
0.9481903183864654,0.333446114378947
0.9462069107176161,0.3392706599331486
0.9441872258709042,0.3450824235498793
0.9421313361569879,0.3508811849147166
0.9400393152020374,0.356666724133798
0.9379112379459217,0.36243882174113246
0.9357471806403587,0.36819725870590686
0.9335472208470318,0.37394181643978963
0.9313114374356701,0.3796722768042297
0.9290399105820937,0.3853884221177512
0.9267327217662236,0.3910900351632444
0.9243899537700558,0.39677689919525233
0.9220116906756008,0.40244879794725275
0.9195980178627859,0.4081055156389356
0.9171490220073231,0.4137468369834758
0.9146647910785406,0.41937254719480194
0.9121454143371788,0.42498243199485897
0.9095909823331502,0.4305762776208672
0.9070015869032628,0.4361538708325756
0.9043773211689085,0.4417149989195099
0.9017182795337143,0.44725944970821546
0.8990245576811575,0.4527870115694954
0.8962962525721451,0.45829747342564203
0.8935334624425559,0.4637906247576641
0.8907362868007471,0.46926625561250696
0.8879048264250231,0.4747241566102676
0.885039183361069,0.48016411895140393
0.882139460919346,0.4855859344239376
0.8792057636724512,0.49098939541065
0.8762381974524394,0.49637429489627344
0.8732368693481087,0.501740426474674
0.8702018877018239,0.5070875843567729
0.8671333621083734,0.5124155633748243
0.8640314034097476,0.5177241589938039
0.8608961236938261,0.5230131673158195
0.8577276362911005,0.5282823850879308
0.8545260557717343,0.5335316097092915
0.8512914979425885,0.5387606392382829
0.8480240798442061,0.5439692723996424
0.8447239197477611,0.5491573085915822
0.8413911371519688,0.5543245478929005
0.838025852779958,0.5594707910700862
0.834628188576106,0.5645958395844124
0.8311982677028338,0.5696994955990252
0.8277362145373648,0.5747815619860209
0.8242421546684442,0.5798418423335169
0.8207162148930197,0.5848801409527118
0.8171585232128854,0.5898962628849382
0.8135692088312843,0.5948900139087057
0.8099484021494749,0.5998612005467338
0.8062962347632573,0.6048096300729768
0.8026128394594607,0.6097351105196388
0.7988983502123929,0.6146374506841774
0.7951529021802487,0.6195164601362995
0.791376631701482,0.6243719492249448
0.7875696762911357,0.629203729085262
0.7837321746371351,0.6340116116455706
0.7798642665965387,0.6387954096343156
0.7759660931917532,0.6435549365870082
0.7720377966067056,0.6482900068531587
0.7680795201829775,0.653000435603195
0.7640914084158992,0.6576860388353719
0.7600736069506037,0.6623466333826675
0.756026262578041,0.6669820369196683
0.7519495232309525,0.6715920679694419
0.7478435379798049,0.6761765459103987
0.7437084570286839,0.6807352909831383
0.7395444317111485,0.6852681242972872
0.7353516144860431,0.6897748678383198
0.7311301589332716,0.6942553444743694
0.7268802197495288,0.6987093779630237
0.7226019527439919,0.7031367929581082
0.7182955148339721,0.707537415016455
0.7139610640405243,0.7119110706046587
0.7095987594840162,0.7162575871058173
0.705208761379657,0.7205767928262582
0.7007912310329844,0.7248685170022517
0.6963463308353107,0.7291325898067071
0.6918742242591284,0.7333688423558564
0.687375075853473,0.737577106715919
0.682849051239246,0.7417572159097562
0.6782963171044959,0.7459090039235037
0.6737170411996573,0.7500323057131943
0.6691113923327491,0.7541269572113591
0.6644795403645306,0.7581927953336156
0.6598216562036168,0.7622296579852375
0.6551379118015498,0.7662373840677082
0.6504284801478314,0.7702158134852568
0.6456935352649108,0.7741647871513765
0.6409332522031329,0.778084146995325
0.6361478070356423,0.7819737359686082
0.6313373768532469,0.7858333980514438
0.6265021397592386,0.7896629782592078
0.6216422748641716,0.7934623226488615
0.6167579622805991,0.7972312783253592
0.6118493831177667,0.8009696934480379
0.6069167194762648,0.8046774172369857
0.6019601544426366,0.8083542999793911
0.5969798720839457,0.8120001930358726
0.5919760574422991,0.815614948846787
0.5869488965293298,0.8191984209385175
