Mars - Bisekcja, 
x,y
1.5173574782567243,0.0
1.518149193551593,0.008719286979496503
1.5188907788406694,0.01743831062606791
1.5195822110905814,0.026156807608057
1.5202234683575209,0.03487451459634277
1.520814529787456,0.043591168265609825
1.5213553756163902,0.05230650529561924
1.5218459871706524,0.0610202623724814
1.5222863468672316,0.0697321761899314
1.5226764382141487,0.07844198345060742
1.523016245810867,0.0871494208673325
1.5233057553487424,0.09585422516440056
1.5235449536115129,0.10455613307886659
1.5237338284758262,0.11325488136184221
1.5238723689118079,0.12195020677979641
1.5239605649836685,0.1306418461158625
1.5239984078503483,0.13932953617115154
1.5239858897662037,0.14801301376607262
1.523923004081731,0.15669201574166103
1.5238097452443307,0.16536627896091402
1.5236461087991096,0.17403554031013535
1.5234320913897248,0.1826995367002887
1.5231676907592635,0.1913580050683611
1.5228529057511657,0.20001068237873548
1.5224877363101827,0.20865730562457477
1.5220721834833786,0.21729761182921647
1.5216062494211668,0.22593133804757898
1.5210899373783913,0.23455822136757978
1.520523251715441,0.24317799891156672
1.5199061978994086,0.25179040783776185
1.519238782505286,0.2603951853417192
1.5185210132171991,0.2689920686577968
1.517752898829684,0.27758079506064265
1.516934449248998,0.28616110186669685
1.5160656754944757,0.2947327264357087
1.5151465896999186,0.3032954061722703
1.514177205115028,0.3118488785273667
1.5131575361068752,0.3203928809999434
1.5120875981614097,0.32892715113849164
1.51096740788501,0.33745142654265176
1.5097969830060696,0.34596544486483594
1.5085763423766239,0.3544689438118693
1.507305505974016,0.3629616611466518
1.5059844949026007,0.37144333468984
1.5046133313953947,0.37991370232212024
1.5031920388162017,0.3883725019838176
1.501720641660956,0.396819471679606
1.5001991655598794,0.40525434947842176
1.4986276372793081,0.4136768735156933
1.497006084723631,0.42208678199515626
1.4953345369372637,0.4304838131906936
1.4936130241066619,0.4388677054481999
1.4918415775623748,0.44723819718747104
1.4900202297811336,0.45559502690411935
1.4881490143879805,0.4639379331715158
1.4862279661584352,0.4722666546427586
1.4842571210206994,0.4805809300526684
1.482236516057899,0.4888804982198137
1.4801661895103646,0.49716509804856224
1.4780461807779495,0.5054344685311631
1.475876530422385,0.5136883487498579
1.4736572801696746,0.5219264778790222
1.471388472912523,0.530148595187338
1.4690701527128063,0.5383544400399968
1.466702364804075,0.5465437519009355
1.4642851555940974,0.5547162703351043
1.46181857266744,0.5628717350107673
1.4593026647880807,0.5710098857018372
1.4567374819020646,0.5791304622902443
1.4541230751401921,0.5872332047683395
1.4514594968207442,0.5953178532413334
1.4487468004522464,0.6033841479297709
1.4459850407362655,0.6114318291720428
1.443174273570245,0.6194606374269329
1.4403145560503743,0.6274703132762057
1.4374059464744955,0.635460597427229
1.4344485043450441,0.6434312307156381
1.4314422903720274,0.6513819541080369
1.428387366476034,0.6593125087047422
1.4252837957912823,0.6672226357425652
1.4221316426687023,0.675112076597637
1.4189309726790515,0.6829805727882736
1.4156818526160662,0.6908278659778863
1.412384350499646,0.6986536979779309
1.4090385355790738,0.7064578107509057
1.4056444783362676,0.7142399464133885
1.402202250489068,0.7219998472391232
1.3987119249945579,0.7297372556621483
1.3951735760524149,0.7374519142799731
1.3915872791082977,0.7451435658568015
1.3879531108572662,0.7528119533268
1.3842711492472297,0.7604568197974185
1.3805414734824326,0.7680779085527543
1.3767641640269683,0.7756749630569699
1.3729393026083274,0.7832477269577574
1.3690669722209747,0.7907959440898553
1.3651472571299594,0.7983193584786162
1.3611802428745545,0.8058177143436255
1.3571660162719295,0.8132907561023716
1.3531046654208485,0.820738228373973
1.3489962797054047,0.8281598759829544
1.344840949798778,0.8355554439630807
1.3406387676670275,0.8429246775612425
1.3363898265729086,0.8502673222414013
1.3320942210797218,0.8575831236885878
1.3277520470551882,0.8648718278129586
1.3233634016753544,0.8721331807539093
1.3189283834285228,0.879366928884248
1.3144470921192122,0.8865728188144248
1.309919628872142,0.8937505973968236
1.3053460961362455,0.9009000117301126
1.300726597688709,0.9080208091636547
1.2960612386390349,0.9151127373019835
1.2913501254331319,0.9221755440093358
1.2865933658574302,0.929208977414252
1.2817910690430199,0.9362127859142362
1.2769433454698138,0.9431867181804845
1.2720503069707363,0.9501305231626742
1.2671120667359308,0.9570439500938214
1.2621287393169953,0.963926748495203
1.2571004406312354,0.9707786681813474
1.2520272879659422,0.9775994592650916
1.2469093999826917,0.9843888721627069
1.2417468967216625,0.9911466575990925
1.2365398996059755,0.9978725666130426
1.2312885314460549,1.0045663505625768
1.2259929164440049,1.0112277611303508
1.220653180198009,1.0178565503291295
1.2152694497067444,1.024452470507339
1.209841853373817,1.031015274354689
1.2043705210122106,1.0375447149078691
1.1988555838487547,1.0440405455563209
1.1932971745286085,1.0505025200480826
1.1876954271197575,1.0569303924957123
1.1820504771175289,1.063323917382286
1.1763624614491175,1.0696828495674742
1.1706315184781282,1.0760069442936937
1.1648577880091284,1.0822959571923423
1.1590414112922154,1.0885496442901081
1.1531825310275927,1.0947677620153626
1.1472812913701604,1.1009500672046317
1.1413378379341124,1.10709631710915
1.1353523177975453,1.1132062694014953
1.1293248795070756,1.1192796821823074
1.1232556730824643,1.12531631398709
1.1171448500212504,1.1313159237930954
1.1109925633033881,1.1372782710262954
1.1047989673958933,1.143203115568437
1.0985642182574933,1.1490902177641842
1.0922884733432787,1.1549393384283468
1.085971891609364,1.1607502388531967
1.0796146335175452,1.1665226808158713
1.0732168610399624,1.1722564265858684
1.0667787376637634,1.177951238932626
1.0603004283957649,1.1836068811331983
1.0537820997671148,1.189223116980016
1.0472239198379536,1.1947997107887438
