Merkury - Bisekcja, ,Wenus - Bisekcja, ,Ziemia - Bisekcja, ,Mars - Bisekcja, 
x,y,x,y,x,y,x,y
0.37884926451596856,0.0,0.7229832843044113,0.0,0.9998605582407879,0.0,1.5173574782567243,0.0
0.379255880314524,0.001973818434384304,0.7229998869364502,0.004511927552538785,0.9999446651030172,0.006179079133543031,1.518149193551593,0.008719286979496503
0.3796521967854532,0.003947592399403359,0.7229883310186539,0.009023680566637273,0.9999905820605531,0.012357926151514284,1.5188907788406694,0.01743831062606791
0.38003820478502964,0.005921277424839934,0.7229486169647185,0.013535084510193775,0.9999983072807245,0.018536308945750875,1.5195822110905814,0.026156807608057
0.3804138952580319,0.00789482903877285,0.7228807462553889,0.018045964863783674,0.9999678402936495,0.02471399542290766,1.5202234683575209,0.03487451459634277
0.3807792592375921,0.009868202766725039,0.7227847214384143,0.02255614712699753,0.9998991819922772,0.030890753511865997,1.520814529787456,0.043591168265609825
0.3811342878450553,0.011841354130811638,0.7226605461284668,0.02706545682477866,0.9997923346323961,0.03706635117114227,1.5213553756163902,0.05230650529561924
0.38147897228985,0.013814238648888144,0.7225082250070253,0.031573719513760125,0.999647301832609,0.04324055639629635,1.5218459871706524,0.0610202623724814
0.38181330386936824,0.015786811833698646,0.7223277638222253,0.03608076078860079,0.9994640885742757,0.049413137227339574,1.5222863468672316,0.0697321761899314
0.38213727396885744,0.017759029192024104,0.7221191693886712,0.04058640628832041,0.9992427012014226,0.05558386175614267,1.5226764382141487,0.07844198345060742
0.3824508740613224,0.019730846223830766,0.7218824495872145,0.04509048170263355,0.9989831474206182,0.0617524981338431,1.523016245810867,0.0871494208673325
0.3827540957074376,0.021702218421418652,0.7216176133646968,0.04959281277828217,0.998685436300818,0.06791881457825205,1.5233057553487424,0.09585422516440056
0.3830469305554714,0.023673101268570192,0.7213246707336568,0.054093225325366624,0.9983495782731729,0.07408257938126095,1.5235449536115129,0.10455613307886659
0.38332937034121917,0.025643450239699002,0.7210036327720022,0.0585915452236751,0.9979755851308086,0.08024356091624751,1.5237338284758262,0.11325488136184221
0.38360140688794875,0.027613220798998753,0.7206545116226467,0.06308759842901111,0.997563470028568,0.08640152764548109,1.5238723689118079,0.12195020677979641
0.3838630321063559,0.029582368399592288,0.7202773204931111,0.06758121097951897,0.9971132474827237,0.09255624812752739,1.5239605649836685,0.1306418461158625
0.3841142379945306,0.031550848482680874,0.7198720736550891,0.07207220900200717,0.9966249333706549,0.09870749102465264,1.5239984078503483,0.13932953617115154
0.3843550166379338,0.03351861647669361,0.7194387864439782,0.07656041871826932,0.9960985449304939,0.10485502511022685,1.5239858897662037,0.14801301376607262
0.38458536020938583,0.035485627796437165,0.7189774752583749,0.08104566645140261,0.9955341007607365,0.11099861927612628,1.523923004081731,0.15669201574166103
0.3848052609690647,0.03745183784224559,0.7184881575595348,0.08552777863212353,0.9949316208198213,0.11713804254013525,1.5238097452443307,0.16536627896091402
0.38501471126451564,0.03941720199913044,0.7179708518707975,0.09000658180508077,0.9942911264256757,0.12327306405334668,1.5236461087991096,0.17403554031013535
0.38521370353067164,0.0413816756359312,0.7174255777769754,0.0944819026351651,0.9936126402552274,0.1294034531075619,1.5234320913897248,0.1826995367002887
0.38540223028988463,0.043345214104465894,0.7168523559237086,0.09895356791381603,0.9928961863438841,0.13552897914268966,1.5231676907592635,0.1913580050683611
0.38558028415196766,0.045307772738682035,0.7162512080167832,0.10342140456532517,0.992141790084979,0.14164941175414322,1.5228529057511657,0.20001068237873548
0.38574785781424775,0.0472693068538078,0.7156221568214151,0.10788523965313583,0.9913494782291841,0.1477645207002375,1.5224877363101827,0.20865730562457477
0.3859049440616306,0.04922977174550368,0.7149652261611574,0.11234490038840277,0.9905192788838885,0.1538740759095838,1.5220721834833786,0.21729761182921647
0.38605153576667495,0.051189122689014314,0.714280440918817,0.11680021412496693,0.9896512215125449,0.1599778474884843,1.5216062494211668,0.22593133804757898
0.38618762588967914,0.0531473149383207,0.7135678270322259,0.12125100838827814,0.9887453369339827,0.16607560572832455,1.5210899373783913,0.23455822136757978
0.3863132074787781,0.055104303725292895,0.7128274114967895,0.1256971108590446,0.9878016573216862,0.1721671211129647,1.520523251715441,0.24317799891156672
